Number,Question,OriginalAnswer,Type,Answer,WrongAnswers,Passage,OTNT,Theme
153,To what city were many of the people of Judah taken as captives?,Babylon,Place,,,2 Kings 24:10-16,OT,Kings
154,What king of Babylon conquered Jerusalem and the Kingdom of Judah?,Nebuchadnezzar,Person,,,2 Kings 24:10-16,OT,Kings
155,"When the people returned to Jerusalem from captivity in Babylon, who oversaw the rebuilding of the temple?",Zerubbabel,Person,,,Ezra 3:8,OT,BabylonCaptivity
156,"When the people returned to Jerusalem from captivity in Babylon, who oversaw the rebuilding of the walls of the city?",Nehemiah,Person,,,Nehemiah 2:4-8,OT,BabylonCaptivity
157,Who was the Jewish girl who became the wife of the king of Persia?,Esther,Person,,,Esther 2:16-17,OT,Esther
158,How did Esther save the lives of the Jewish people?,"By asking her husband, king of Persia, to spare their lives",,,By asking her cousin Mordecai to spare their lives|By moving the Jewish people to another land|By hiding the Jewish people,Esther 7:1-6,OT,Esther
159,What man lost all of his possessions and his health but remained true to God?,Job,Person,,,Job 1:7-22,OT,Job
160,How did God reward Job for his faithfulness?,God gave him as many children and twice as many possessions as he had had before his trial.,,,God gave hime one child and a new home.|God gave him a kingdom.|God gave him the land of his enemies.,Job 42:10-13,OT,Job
161,Who was called the weeping prophet?,Jeremiah,Person,,,Jeremiah 9:1,OT,Jeremiah
162,Who interpreted a famous dream for King Nebuchadnezzar?,Daniel,Person,,,Daniel 2:27-29,OT,Daniel
163,"Why were Shadrach, Meshach, and Abednego thrown into a blazing furnace?",They refused to worship the gold statue set up by the king.,,,They refused to give their money to the king.|They refused to make a gold statue for the king.|They stole from the king.,Daniel 3:14-23,OT,Daniel
164,What did Daniel do when the king decreed he could no longer pray to his God?,He continued to pray just as he always did.,,,He stopped praying.|He spoke out against the king.|He left the city.,Daniel 6:10,OT,Daniel
165,What happened to Daniel when he continued to pray to God instead of to the king?,He was thrown into the lions' den.,,,He was made a prophet to the king.|He was thrown into a field of sheep.|He was banished from the kingdom,Daniel 6:4-16,OT,Daniel
166,What was the meaning of the handwriting on the wall at Belshazzar's drunken party?,That Belshazzar's kingdom was about to be conquered,,,That Belshazzar's kingdom would grow|That Belshazzar needed more wine|That Belshazzar's gold would be lost,Daniel 5:25-31,OT,Daniel
167,Who was swallowed by a great fish when he ran away from doing God's will?,Jonah,Person,,,Jonah 1:17,OT,Jonah
168,What happened when Jonah preached to the people of Ninevah?,The people repented and God forgave them.,,,The people went back to their wicked ways.|The people left the city.|The people killed Jonah.,Jonah 3:5-10,OT,Jonah
169,Where did Micah say the Messiah would be born?,Bethlehem,Place,,,Micah 5:2,OT,MinorProphets
170,"According to the prophet Zechariah, where will Jesus' feet stand when He returns to the earth?",The Mount of Olives,Place,,,Zechariah 14:4,OT,MinorProphets
171,Who told Mary she would be the mother of the Messiah?,The angel Gabriel,Person,,,Luke 1:26-33,NT,Birth of Jesus
172,To whom was the virgin Mary engaged to be married?,Joseph,Person,,,Matthew 1:18,NT,Birth of Jesus
173,"Who were the first persons, other than Joseph and Mary, to hear that Jesus had been born?",Shepherds,,,Wise Men|King Herod and his court|The Apostles,Luke 2:8-16,NT,Birth of Jesus
174,What two groups of men worshipped the Christ child?,Shepherds and Wise Men,,,Wise Men and Prophets|Shepherds and Holy Men|Prophets and Tax Collectors,Matthew 2:1-2;Luke 2:8-17,NT,Birth of Jesus
175,"When the Wise Men came seeking Jesus, what question did they ask?","Matthew 2:2 ""Where is the newborn king of the Jews?""",DirectBibleQuote,,,Matthew 2:2,NT,Birth of Jesus
176,Who was king over Judea when Jesus was born?,Herod,Person,,,Matthew 2:3,NT,Birth of Jesus
177,How did the Wise Men find Jesus?,They followed His star to where He was.,,,They were given a map.|They followed the moon to where He was.|They followed a pillar of fire.|They were given a GPS.,Matthew 2:2-9,NT,Birth of Jesus
178,What gifts were given to Jesus by the Wise Men?,Gold|Frankincense|Myrrh,,,Gold~Silver~Bronze|Rubies~Diamonds~Emeralds|Gift cards,Matthew 2:11,NT,Birth of Jesus
179,Where did Jesus live as He was growing up?,Nazareth,Place,,,Matthew 2:23,NT,LifeofJesus
180,Whom did God send to prepare the way for Jesus?,John the Baptist,Person,,,John 3:26-28,NT,LifeofJesus
181,About how old was Jesus when He began His public ministry?,[About]thirty years old,Timespan,30 years,,Luke 3:23,NT,Ministry of Jesus
182,About how long did Jesus preach and teach before His crucifixion?,[About] three and a half years,Timespan,3 1/2 years,,,,Ministry of Jesus
183,With what words did John the Baptist introduce Jesus?,"John 1:29 ""Look! The Lamb of God who takes away the sin of the world!""",DirectBibleQuote,,,John 1:29,NT,Ministry of Jesus
184,How did John the Baptist describe the way Jesus would baptize?,With the Holy Spirit and with fire,,,With a dove|With holy oil|With water of the Jordan River,Matthew 3:11,NT,Ministry of Jesus
185,Which of the disciples was a tax collector?,Matthew,Person,,,Matthew 10:3,NT,Ministry of Jesus
186,"After Andrew met Jesus, what did he tell his brother Simon Peter?","""We have found the Messiah.""",,,"""We have found the Son of God.""|""We have found the great healer.""|""We have found the fisher of men.""",John 1:40-41,NT,Ministry of Jesus
187,What was Jesus' first miracle?,Turning water into wine at the wedding in Cana,,,Turning wine into water|Pulling a rabbit out of hat|Healing the blind man|Calming a storm on the sea,John 2:1-11,NT,Ministry of Jesus
188,What ruler of the Jews came to Jesus by night seeking the way to eternal life?,Nicodemus,Person,,,John 3:1-2,NT,Ministry of Jesus
189,Where did John the Baptist baptize Jesus?,In the Jordan River,,,In the Red Sea|In a small creek|In the Tigris River|In a puddle of water,Matthew 3:13,NT,Ministry of Jesus
190,How did God show His approval of Jesus at His baptism?,"The Holy Spirit descended on Him and the Father said, ""This is my dearly loved Son, who brings me great joy.""",,,"""This is my Son of the line of David""|""This is my Son, who shall bring peace""|""This is my dearly loved Son, who brings me great sorrow""",Matthew 3:16-17; Luke 3:21-22,NT,Ministry of Jesus
191,"During Jesus' temptation, how long did He go without eating?",Forty days and nights,Timespan,,,Matthew 4:2; Luke 4:2,NT,Ministry of Jesus
192,Who were the first four apostles Jesus called to follow Him?,Peter|Andrew|James|John,,,Noah~Moses~Adam~Eve|Timothy~Judas~Luke~Simon|James~John~Judas~Jude,Matthew 4:18-22,NT,Ministry of Jesus
193,"What do we call the first statements of the Sermon on the Mount which all begin with the words, ""God blesses""?",[The] Beatitudes,,The Beatitudes,The Beatles|The Gospels|The New Testament|The Old Testament,Matthew 5:2-11,NT,Ministry of Jesus
194,How did Jesus prove His power over nature?,By calming a storm on the Sea of Galilee,,,By stopping the sun and moon|By starting a storm on the Sea of Galilee|By destroying a mountain,Matthew 8:23-27,NT,Ministry of Jesus
195,What strange gift did King Herod give to his stepdaughter?,The head of John the Baptist,,,The thumb of John the Baptist|A shubbery|The head of a lion,Matthew 14:6-11,NT,Ministry of Jesus
196,"What revelation of himself did Jesus give to Peter, James and John on a high mountain?","Jesus' appearance was transformed, and he talked with Moses and Elijah.",,,Jesus' appearance looked the same.|Jesus talked with Noah.|Jesus' cloths were made of gold,Matthew 17:1-8,NT,Ministry of Jesus
197,Why did the rich young leader fail to follow Jesus?,He loved the things he owned more than he loved Jesus.,,,He loved his wife more than he loved Jesus.|He loved his sheep more than he loved Jesus.|He loved his father more than he loved Jesus.,Matthew 19:16-22; Luke 18:18-23,NT,Ministry of Jesus
198,What did Jesus prophesy would happen to the stones of the temple?,Not one stone would be left on top of another,,,All of them would be wet|All of them would be burnt|Not one stone would be lost,Mark 13:1-2,NT,Ministry of Jesus
199,What great statement did Peter make about Jesus?,"Matthew 16:16 ""You are the Messiah, the Son of the living God.""",DirectBibleQuote,,,Matthew 16:16,NT,Ministry of Jesus
200,Which three of the disciples were Jesus' closest friends?,Peter|James|John,,,Peter~Paul~Mary|Shem~Ham~Japeth|Timothy~Andrew~Jude,Matthew 17:1 ,NT,Ministry of Jesus
201,Who did Jesus say was like the foolish man who built his house upon sand?,Those who hear His teachings but do not obey them,,,Those who hear His teachings and follow them|Those who do not listen|Those who talk too much,Matthew 7:26,NT,Ministry of Jesus
202,Who did Jesus say was like the wise man who built his house upon the rock?,Those who hear His teachings and follow them,,,Those who hear His teachings but do not obey them|Those who do not listen|Those who talk too much,Matthew 7:24,NT,Ministry of Jesus
203,"In Jesus' parable, who helped the man who had been beaten and robbed?",The Good Samaritan,,,The Bad Samaritan|The Good Persian|The Babylonian,Luke 10:30-37,NT,Ministry of Jesus
204,"In the Parable of the Sower, to what did Jesus compare the seed?",The Word of God,,,The Tree of Life|The Fruit of Salvation|The Faith of the Holy,Mark 4:14,NT,Ministry of Jesus
205,What did Jesus teach about material possessions?,Don't be greedy.  A person's life is not measured by how much they own.,,Don't be greedy,Don't be wasteful|Don't convet your neighbors possessions|Do not steal,Luke 12:15,NT,Ministry of Jesus
206,What did Jesus do in healing the man born blind?,He put mud on his eyes and told him to go and wash it off.,,,He put oil on his eyes and told him to go and wash it off.|He fed the man fish.|He told the man's family to pray.|He gave the man eye drops.,John 9:1-7,NT,Ministry of Jesus
207,Which of Jesus' parables tells us that God is willing to forgive and restore the sinner who repents?,The Parable of the Prodigal Son,,,The Good Samaritan|The Mustard Seed|The Lost Sheep|The Two Sons,Luke 15:11-32,NT,Ministry of Jesus
208,How did Jesus answer those who asked if it was right for them to pay taxes to Caesar?,"Give Caesar what belongs to Caesar, and give God what belongs to God.",,,Do not give Caesar anything.|Give to God after what is given to Caesar.|Give to God what belongs to Caesar|Give Caesar everything.,Matthew 22:15-22,NT,Ministry of Jesus
209,"How did Jesus feed five thousand men, plus women and children?",He multiplied five loaves and two fish from a boy's lunch.,,,He and the disciples fished all night|He order food from another town|Mana fell from the sky,Matthew 14:13-21; Mark 6:32-44; Luke 9:10-17; John 6:1-13,NT,Ministry of Jesus
210,Who climbed a tree in order to see Jesus?,Zacchaeus,Person,,,Luke 19:1-6,NT,Ministry of Jesus
211,How did Jesus come into Jerusalem at the Triumphal Entry?,Jesus came riding on the colt of a donkey.,,,Jesus walked through the back gate.|Jesus flew in.|Jesus was snuck in by the disciples.,Matthew 21:2-5; Luke 19:29-35; John 12:14-15,NT,Ministry of Jesus
212,How did Jesus teach His disciples humility at the Last Supper?,He washed the disciples' feet.,,,He washed the disciples' hands.|He served the disciples' food.|He gave the disciples money.|He took food from the disciples.,John 13:1-17,NT,Ministry of Jesus
213,Where did Jesus pray the night before His crucifixion?,Gethsemane,Place,,,Matthew 26:36,NT,Ministry of Jesus
214,Which apostle betrayed Jesus?,Judas Iscariot,Person,,,"Matthew 26:17-25, 45-49",NT,Ministry of Jesus
215,"In betraying Jesus, how did Judas show the soldiers who Jesus was?",He kissed Jesus,,,He hugged Jesus|He gave the soldiers a note|He pointed to Jesus,Matthew 26:49,NT,Jesus' Crucifixion
216,What did Jesus prophesy Peter would do on the night of His betrayal?,Peter would deny knowing Jesus three times.,,,Peter would pray|Peter would stop Judas|Peter would leave the country|Peter would battle the Romans,Matthew 26:34,NT,Jesus' Crucifixion
217,What person did the people ask Pilate to release instead of Jesus?,Barabbas,Person,,,Matthew 27:15-21,NT,Jesus' Crucifixion
218,"What does the word ""Golgotha"" mean?",The Place of the Skull,,,The Burial Place of Goliath|The Place of Flowers|The Place of the Sword,Matthew 27:33,NT,Jesus' Crucifixion
219,What title did Pilate have placed on Jesus' cross?,"[Jesus of Nazareth], the King of the Jews",,,"[Jesus of Nazareth], a Criminal|King of the Crown of Thorns|[Jesus of Bethlehem], the King of the Jews",Matthew 27:37; Mark 15:26; John 19:19,NT,Jesus' Crucifixion
220,How did Jesus die?,"He was crucified, or nailed to a cross.",,,He was killed by the sword.|He was killed by a mob.|He was killed by a wild animal.|He died from food poisoning.,Matthew 27:35,NT,Jesus' Crucifixion
221,What happened in the realm of nature when Jesus was crucified?,The sun became dark for three hours and there was an earthquake.,,,The seas turned red and boiled.|The birds stopped singing for three hours and there was a storm.|All flowers withered and died.|The sky turned pink.,"Matthew 27:45, 51",NT,Jesus' Crucifixion
222,What did the Roman officer who had been in charge of Jesus' execution say about Jesus?,"""This man truly was the Son of God!""",,,"""He was not a criminal!""|""The false prophet is dead!""|""We should not have done this!""",Mark 15:39,NT,Jesus' Crucifixion
223,Who buried Jesus?,Joseph of Arimathea and Nicodemus,TwoPersons,,,John 19:38-39,NT,Jesus' Crucifixion
224,Who was the first person to see Jesus after He was resurrected?,Mary Magdalene,Person,,,John 20:1-18,NT,Resurrection of Jesus
225,How was the way made for the women to get inside the tomb of Jesus?,An angel had rolled away the stone.,,,A group of men rolled away the stone.|An angel blew up the stone.|The stone disappeared.,Matthew 28:2,NT,Resurrection of Jesus
226,Who was the disciple who at first doubted Jesus' resurrection?,Thomas,Person,,,John 20:24-29,NT,Resurrection of Jesus
227,"After Jesus walked and talked with His apostles following His resurrection, what happened to Him?",He was taken up into a cloud until they could no longer see Him.,,,He appeared to masses to give a sermon.|He walked into the ocean until they could not longer see Him.|A dove came down and he dissappeared.,Acts 1:1-9,NT,Resurrection of Jesus
228,Who was chosen to replace Judas as an apostle?,Matthias,Person,,,Acts 1:23-26,NT,Early Church
229,About how many people waited in Jerusalem for the coming of the Holy Spirit?,[About] 120,Number,120,,Acts 1:12-15,NT,Early Church
230,What gift of God was given to the Church on the Day of Pentecost?,The gift of the Holy Spirit,,,The gift of the Bible|The gift of dance|The gift of healing|The gift of knowledge,Acts 2:1-4,NT,Early Church
231,What Old Testament prophet foretold the outpouring of the Holy Spirit?,Joel,Person,,,Acts 2:16,OT/NT,Early Church
232,About how many people were saved as a result of Peter's sermon on the Day of Pentecost?,[About] three thousand,Number,"3,000",,Acts 2:41,NT,Early Church
233,What did Peter say to the lame man at the temple gate?,"Acts 3:6 ""I don't have any silver or gold for you. But I'll give you what I have. In the name of Jesus Christ the Nazarene, get up and walk!""",DirectBibleQuote,,,Acts 3:6,NT,Early Church
234,What was the sin of Ananias and Sapphira?,They lied to the Holy Spirit.,,,They lied to Saul.|They did not give up all their possessions.|They did not leave their home.,Acts 5:3,NT,Early Church
235,Why did the apostles rejoice after being beaten for preaching the gospel?,Because they were counted worthy to suffer disgrace for the name of Jesus,,,Because the beatings would stop|Because Jesus would return to Earth someday|Because the people would see their suffering and lament,Acts 5:40-42,NT,Early Church
236,Who was the first person to be martyred for being a Christian?,Stephen,Person,,,Acts 7:59,NT,Early Church
237,"According to church history, who was the only one of the twelve apostles not martyred for his faith in the risen Christ?",John,Person,,,,,General
238,Why did Saul of Tarsus go to Damascus?,To arrest Christians,,,To collect taxes|To get a name change|To free Christians,Acts 9:1-2,NT,Early Church
239,What happened to Saul of Tarsus near Damascus?,"Jesus appeared to him in a light from heaven, and Saul accepted Him as Lord.",,,A donkey spoke to him|He was robbed and beaten by theives|He found a silver coin,Acts 9:3-9,NT,Early Church
240,Who was raised from the dead in answer to Peter's prayer?,Tabitha [Dorcas],Person,,,Acts 9:36-41,NT,Early Church
241,Who was the Roman officer who sent for Peter to come and preach to him?,Cornelius,Person,,,Acts 10:1,NT,Early Church
242,What happened while Peter was preaching at Cornelius's house?,The Holy Spirit fell upon all who were listening to the message.,,,The Romans arrested everyone.|An earthquake happened.|A dove pearched at the window.,Acts 10:44-48,NT,Early Church
243,"In what city were Jesus' followers first called ""Christians""?",Antioch,Place,,,Acts 11:26,NT,Early Church
244,How did Peter escape from prison the night before Herod planned to kill him?,An angel opened the prison for him.,,,The door was left unlocked.|Peter got the key from the guard.|Peter bribed the guard.,Acts 12:6-11,NT,Early Church
245,Who helped Paul on his first missionary journey?,Barnabas,Person,,,Acts 13:1-4,NT,Ministry of Paul
246,What happened to Paul at Lystra after the people had thought he was a god?,"He was stoned and left for dead, but God healed him.",,,He was made ruler of the kinddom.|The people made a temple to him.|Paul healed the sick.,Acts 14:11-20,NT,Ministry of Paul
247,How did Paul know he was supposed to preach in Macedonia?,God showed him a vision of a man from Macedonia calling for help.,,,God showed him a map in a dream.|A man from Macedonia spoke to Paul.|Paul followed a star to Macedonia.,Acts 16:9-10,NT,Ministry of Paul
248,Who were Paul's chief helpers on his second missionary journey?,Silas and Timothy,TwoPersons,,,Acts 15:40; 16:1-4,NT,Ministry of Paul
249,Who wrote the Book of Acts?,Luke,Person,,,Luke 1:3; Acts 1:1,NT,Early Church
250,What was the occupation of Luke?,Doctor,,,Priest|Tax Collector|Carpenter|YouTuber,Colossians 4:14,NT,Early Church
251,What did Paul tell the Philippian jailer to do in order to be saved?,"Acts 16:31 ""Believe in the Lord Jesus and you will be saved, along with everyone in your household.""",DirectBibleQuote,,,Acts 16:31,NT,Ministry of Paul
252,Who were the tentmakers who assisted Paul at Corinth?,Aquila and Priscilla,TwoPersons,,,Acts 18:1-3,NT,Ministry of Paul
253,What did the people of Ephesus do with their books of witchcraft to show they had turned to God?,They burned them.,,,They buried them.|They sent them away.|They recyled them.|They read them.,Acts 19:18-19,NT,Early Church
254,"In Ephesians, what command does Paul give to the children?","Children, obey your parents.",,,"Parents, obey your children.|Children, obey your older siblings.|Children, obey your elders.|Children, do whatever you want.",Ephesians 6:1,NT,Ministry of Paul
255,Does God treat all people alike?,"Yes, all people are equal before God",,,"No, people are not equal before God|No, only Christians are equal before God|No",2 Chronicles 19:7; Romans 2:11,OT/NT,General
256,Why did God give the Law?,To show us how sinful we are,,,To show how good we are|Because he can|Because people needed rules,Romans 3:20,NT,General
257,What is the penalty of sin?,"Romans 6:23 For the wages of sin is death, but the free gift of God is eternal life through Christ Jesus our Lord.",DirectBibleQuote,"Romans 6:23 ""For the wages of sin is death, but the free gift of God is eternal life through Christ Jesus our Lord.""",,Romans 6:23,NT,General
258,Why did Jesus die on the Cross?,He died for our sins.,,,He died to conquer the Romans.|He died for the Jews.|He died for nothing.,1 Corinthians 15:3,NT,General
259,Why should we wear all of the armor of God?,So that we can resist the attacks of the devil,,,So we can protect ourselved from non-Christians|So we can attack our enemies|So we can lead others to Jesus,Ephesians 6:11-13,NT,General
260,"In the Christian's armor, what is the belt?",Truth,ChristiansArmor,,,Ephesians 6:14,NT,General
261,"In the Christian's armor, what is the body armor?",God's righteousness,ChristiansArmor,,,Ephesians 6:14,NT,General
262,"In the Christian's armor, what is worn on the feet?",The peace that comes from the good news so that you will be fully prepared,ChristiansArmor,,,Ephesians 6:15,NT,General
263,"In the Christian's armor, what is the shield?",Faith,ChristiansArmor,,,Ephesians 6:16,NT,General
264,"In the Christian's armor, what is the helmet?",Salvation,ChristiansArmor,,,Ephesians 6:17,NT,General
265,What should Christians use to protect themselves from the devil's fiery arrows?,The shield of faith,,,The shield of truth|The helmet of salvation|The gauntlets of justice,Ephesians 6:16,NT,General
266,What is the Spirit's sword?,The Word of God,ChristiansArmor,,,Ephesians 6:17,NT,General
267,When should Christians rejoice?,Always,,,Sometimes|Never|Only when good things happen|Only when bad things happen,Philippians 4:4,NT,General
268,To what young pastor did Paul write two letters which are books of the Bible?,Timothy,Person,,,,NT,Ministry of Paul
269,Who was the slave Paul won to the Lord while in prison?,Onesimus,Person,,,Philemon 10-13,NT,Ministry of Paul
270,Why do we love God?,We love Him because He first loved us.,,Because He first loved us,Because we loved God first|Because of Adam and Eve|Because God gave us rainbows|Because God created us,1 John 4:8-19,NT,General
271,What happened to John on the isle of Patmos?,God showed him what was going to happen in the last days.,,,God showed him his future.|God rescued him from the island.|God gave him food.|God told him the secret of life.,Revelation 4:1,NT,End Times
272,What is an apostle?,A special messenger sent by God.,TermDefinition,,,,,General
273,What is faith?,Faith is belief and complete trust in God.,TermDefinition,Belief and complete trust in God.,,,,General
274,What is doctrine?,Doctrine is teaching from the Bible.,TermDefinition,Teaching from the Bible.,,,,General
275,What is sin?,Sin is refusing to do God's will as revealed by His Word and His Spirit.,TermDefinition,Refusing to do God's will as revealed by His Word and His Spirit.,,James 4:17; 1 John 3:4,NT,General
276,What is grace?,Grace means that God offers us His love and forgiveness as a gift and not because we have earned it or deserve it.,TermDefinition,God offers us His love and forgiveness as a gift and not because we have earned it or deserve it.,,,,General
277,What is redemption?,Redemption is the price Jesus paid for our salvation.,TermDefinition,The price Jesus paid for our salvation.,,Ephesians 1:7; Colossians 1:13-14,NT,General
278,What is death?,Death is the separation of the body and the soul.,TermDefinition,The separation of the body and the soul.,,Matthew 10:28,NT,General
279,What is a prophet?,A prophet is a person whom God has chosen to speak for Him in a special way through the power of the Holy Spirit.,TermDefinition,A person whom God has chosen to speak for Him in a special way through the power of the Holy Spirit.,,Deuteronomy 18:28; Judges 4:4; 1 Samuel 19:20; Acts 2:17,OT/NT,General
280,Who are the angels?,Spiritual beings created by God,,,Spiritual beings created before God|Guardians of the Earth|Earthly beings created by God|A type of animal created by God,Colossians 1:16; Hebrews 1:14,NT,General
281,What do we mean when we say that God is immutable?,God does not change. He is always the same.,,,God knows all. He is all knowing.|God is everywhere.|God cannot hear.,Malachi 3:6; James 1:17,OT/NT,General
282,What is a disciple?,A disciple is a learner [follower] of Jesus.,TermDefinition,A learner [follower] of Jesus.,,,,General
283,What is prayer?,Prayer is talking with God.,TermDefinition,Talking with God.,,,,General
284,What is praise?,Praise is expressing our love to God for all He is and all that He has done.,TermDefinition,Expressing our love to God for all He is and all that He has done.,,Psalm 30:4; 71:16,OT,General
285,What is worship?,Worship is exalting and adoring God for who He is.,TermDefinition,Exalting and adoring God for who He is.,,Psalm 29:2,OT,General
286,"What does ""repentance"" mean?","Repentance is having a change of mind, heart, and direction.",TermDefinition,"Having a change of mind, heart, and direction.",,Acts 17:30; 20:21,NT,General
287,What is justification?,"When we accept Jesus as our Savior, God accepts us as though we had not sinned.",TermDefinition,,,Romans 5:1,NT,General
288,What is sanctification?,Sanctification is being separated from sin and set apart to serve God.,TermDefinition,Being separated from sin and set apart to serve God.,,Romans 12:1-2; 1 Thessalonians 5:23; Hebrews 12:14,NT,General
